sample_id,temperatuur_C,druk_bar,debiet_Lh,pH,conductiviteit_mScm,viscositeit_mPas,turbiditeit_NTU,opgeloste_O2_mgL,kwaliteitsscore,is_anomalie,regime,is_gelabeld,model_voorspelling,model_onzekerheid,informativiteit
AL-00229,178.0,10.5,73.4,9.2,9.73,974.7,9.0,13.3,65.9,0,2,0,65.5,4.96,5.86
AL-00230,182.7,12.73,29.9,8.8,1.61,189.8,94.5,9.3,86.0,0,3,0,94.0,4.25,5.18
AL-00231,193.4,16.13,48.3,9.7,0.49,288.3,63.4,12.5,88.2,0,3,0,99.9,8.73,11.02
AL-00232,146.8,11.92,94.2,7.8,0.1,508.5,20.9,13.4,80.7,0,1,0,86.5,6.84,7.62
AL-00233,116.7,17.1,78.2,5.9,2.23,322.5,89.9,3.6,81.1,0,3,0,83.6,11.17,12.53
AL-00234,119.7,17.58,74.3,6.6,7.82,860.8,36.0,1.2,67.0,0,2,0,77.3,8.84,10.24
AL-00235,176.4,6.94,32.7,9.3,3.72,805.7,25.1,0.6,41.9,1,2,0,38.2,9.7,16.12
AL-00236,183.5,11.12,18.6,8.7,7.2,86.6,5.0,4.6,78.0,0,3,0,86.3,4.81,5.1
AL-00237,263.4,6.13,86.9,5.3,7.0,596.7,97.1,12.5,58.4,0,2,0,60.7,9.11,12.14
AL-00238,169.5,16.01,82.3,6.0,9.84,453.4,67.7,0.1,52.6,1,3,0,57.0,10.65,15.4
AL-00239,161.0,10.86,75.5,7.6,2.1,281.8,80.8,2.5,81.0,0,3,0,90.0,4.45,4.98
AL-00240,205.9,12.24,52.8,4.5,8.33,681.6,45.0,4.5,89.4,0,0,0,91.0,5.26,6.78
AL-00241,113.2,7.47,89.5,4.2,0.81,27.3,3.8,9.9,80.6,0,3,0,83.4,8.21,9.14
AL-00242,122.7,9.4,10.3,7.4,7.96,142.2,60.8,11.6,79.7,0,1,0,80.7,6.07,6.64
AL-00243,204.1,8.75,73.4,9.0,0.81,320.9,38.4,11.8,83.4,0,3,0,82.5,7.82,9.14
AL-00244,191.8,3.05,34.2,8.0,3.05,835.9,97.4,5.2,74.9,0,2,0,78.6,6.02,6.02
AL-00245,104.5,10.71,61.8,8.1,9.46,790.3,42.3,11.2,82.4,0,1,0,88.2,6.92,7.95
AL-00246,172.9,10.45,60.0,6.7,5.1,632.3,95.7,7.8,67.3,0,2,0,72.7,3.52,4.06
AL-00247,153.2,6.52,55.5,8.4,5.64,712.6,18.1,3.7,41.3,1,2,0,38.1,10.62,17.78
AL-00248,283.1,1.5,90.8,8.8,8.97,499.2,59.2,4.9,88.1,0,3,0,90.0,11.5,14.51
AL-00249,196.5,6.65,61.2,7.8,6.55,129.4,90.8,14.7,84.2,0,3,0,93.7,6.68,7.9
AL-00250,117.0,4.75,47.5,5.2,1.74,518.1,99.9,3.8,64.2,0,2,0,59.2,8.83,10.73
AL-00251,292.2,12.85,96.3,5.7,2.3,742.8,32.6,12.3,99.7,0,0,0,95.8,10.21,15.25
AL-00252,122.6,18.56,23.0,9.3,0.67,956.3,9.1,8.4,76.8,0,1,0,85.7,8.25,8.55
AL-00253,251.4,4.66,67.0,9.8,6.81,504.6,29.1,10.7,54.8,0,2,0,51.4,9.71,13.64
AL-00254,279.4,13.36,86.9,7.8,9.89,456.1,87.4,2.2,94.5,0,0,0,90.0,10.29,14.3
AL-00255,188.6,10.03,69.9,6.5,1.64,995.9,22.0,14.9,59.1,0,2,0,61.8,4.56,6.01
AL-00256,266.4,6.71,78.7,8.9,7.25,918.7,8.3,6.6,67.2,0,2,0,73.9,8.96,10.37
AL-00257,196.7,2.11,21.1,9.5,6.26,354.6,76.1,2.4,78.2,0,3,0,73.8,7.23,7.69
AL-00258,295.2,12.43,35.9,7.9,6.86,92.7,43.1,8.5,96.5,0,0,0,100.1,11.27,16.13
AL-00259,213.2,19.64,33.1,9.4,9.2,326.9,8.0,13.2,73.7,1,0,0,73.3,12.85,13.18
AL-00260,152.9,5.67,29.8,9.5,0.47,127.8,33.7,10.5,84.2,0,3,0,83.5,6.83,8.09
AL-00261,110.9,5.75,70.4,9.4,6.79,922.3,8.9,0.9,79.7,0,1,0,76.9,7.52,8.23
AL-00262,123.3,15.48,14.3,4.5,7.52,51.2,94.4,5.8,82.7,0,3,0,87.9,7.46,8.62
AL-00263,122.0,12.08,85.8,7.7,3.08,660.1,10.3,6.7,83.8,0,1,0,93.6,7.79,9.17
AL-00264,129.9,15.12,22.6,7.1,0.28,582.0,57.2,5.1,73.9,0,1,0,83.9,7.58,7.75
AL-00265,210.9,17.02,54.7,8.9,0.87,808.4,34.4,6.7,90.4,0,0,0,89.0,7.09,9.28
AL-00266,115.5,5.05,46.0,7.5,6.5,503.6,42.3,11.5,85.7,0,1,0,85.3,8.0,9.71
AL-00267,153.7,8.56,31.6,8.7,3.94,845.7,96.9,11.7,62.9,0,2,0,59.5,5.02,6.23
AL-00268,267.9,13.72,64.3,5.2,6.0,55.6,41.4,13.9,93.9,0,0,0,90.2,8.78,12.1
AL-00269,298.9,2.18,35.7,4.1,1.86,522.8,93.0,12.3,63.8,0,2,0,66.7,11.97,14.66
AL-00270,262.6,13.26,92.0,5.4,2.74,238.2,16.5,14.7,88.7,0,0,0,87.9,9.01,11.48
AL-00271,155.6,10.17,58.0,8.9,3.19,970.8,67.2,14.8,69.4,0,2,0,75.5,5.43,6.05
AL-00272,271.1,14.86,19.9,5.0,7.1,807.9,89.9,12.2,90.1,0,0,0,92.2,10.11,13.16
AL-00273,164.6,13.65,36.7,6.0,6.0,439.8,56.7,7.7,84.5,0,3,0,89.1,6.16,7.33
AL-00274,149.3,2.44,39.4,6.3,8.53,34.0,0.8,4.0,82.9,0,3,0,81.5,8.54,9.9
AL-00275,128.9,15.59,58.7,6.9,0.84,568.4,3.8,14.7,67.8,0,2,0,62.2,7.55,8.65
AL-00276,140.3,2.02,81.1,7.2,7.09,98.2,2.8,8.6,75.0,0,1,0,69.6,7.16,7.17
AL-00277,195.2,15.6,18.0,7.1,5.2,590.5,39.3,12.8,56.1,0,2,0,58.2,6.56,9.04
AL-00278,142.8,8.97,84.3,8.0,6.38,255.2,61.2,11.3,78.4,0,1,0,76.3,7.76,8.29
AL-00279,154.4,10.94,65.5,7.8,3.77,809.2,24.7,4.5,71.4,0,2,0,80.3,7.04,7.54
AL-00280,245.5,7.99,16.1,7.8,0.95,262.5,73.5,4.8,80.1,0,3,0,84.6,8.6,9.48
AL-00281,233.3,17.24,93.8,7.6,1.51,37.0,97.0,2.9,93.0,0,0,0,95.6,8.4,11.43
AL-00282,180.5,6.64,15.1,7.3,6.45,376.1,1.2,3.8,78.5,0,3,0,72.7,5.09,5.45
AL-00283,114.8,14.09,96.0,5.2,9.95,658.1,26.7,9.1,60.3,0,2,0,54.5,8.35,10.81
AL-00284,121.4,4.23,17.4,9.6,5.63,994.7,42.2,3.3,82.8,0,1,0,91.5,7.66,8.86
AL-00285,227.3,5.61,27.3,8.7,9.8,747.8,0.8,13.3,58.4,0,2,0,55.9,7.53,10.03
AL-00286,128.0,11.54,87.8,5.2,2.48,994.4,1.5,10.0,68.0,0,2,0,77.3,7.77,8.85
AL-00287,136.2,6.93,41.8,6.0,5.88,104.4,87.1,3.8,79.0,0,3,0,73.2,6.91,7.46
AL-00288,140.0,3.87,17.2,5.9,8.82,766.9,30.6,5.1,67.2,0,2,0,70.4,7.84,9.06
AL-00289,121.7,4.0,93.0,5.9,0.16,529.1,54.4,0.2,50.5,0,2,0,50.7,7.75,11.54
AL-00290,285.6,19.61,25.5,5.0,4.17,259.0,61.5,7.1,96.5,0,0,0,98.6,12.54,17.93
AL-00291,108.1,16.46,72.7,8.0,8.53,755.7,38.1,12.4,90.8,0,1,0,90.7,9.1,11.97
AL-00292,247.8,11.02,96.9,6.7,2.63,117.2,42.6,7.2,89.2,0,0,0,88.9,7.27,9.34
AL-00293,274.7,1.49,28.3,4.1,6.68,862.3,13.0,11.6,37.8,1,2,0,36.0,16.26,28.37
AL-00294,126.7,3.06,38.3,4.3,4.58,340.4,27.4,8.8,81.7,0,3,0,85.6,7.68,8.71
AL-00295,148.1,5.75,36.0,5.5,1.49,287.7,64.8,10.9,84.8,0,3,0,86.5,5.74,6.86
AL-00296,219.8,15.26,23.9,7.8,4.14,46.4,1.4,7.2,94.1,0,0,0,100.3,9.14,12.63
AL-00297,234.4,18.93,94.9,8.0,6.03,470.4,78.0,6.1,91.2,0,0,0,89.8,10.35,13.7
AL-00298,217.0,12.09,19.0,7.4,7.49,75.4,29.0,11.8,92.0,0,0,0,98.2,6.37,8.53
AL-00299,135.8,6.28,16.8,7.0,9.22,34.0,30.7,12.6,77.4,0,1,0,76.4,6.84,7.17
AL-00300,184.5,12.81,40.0,9.2,8.88,25.3,88.6,6.4,83.2,0,3,0,82.0,6.65,7.74
AL-00301,214.0,6.71,24.3,5.9,1.8,22.6,4.7,8.1,87.0,0,3,0,96.0,6.7,8.31
AL-00302,156.5,10.7,50.4,6.1,0.89,579.3,57.2,11.4,62.8,0,2,0,64.6,5.92,7.36
AL-00303,174.9,5.14,13.0,5.8,9.63,838.4,94.5,6.4,67.7,0,2,0,64.6,4.65,5.33
AL-00304,107.9,5.15,65.8,9.2,9.42,2.8,1.7,4.2,73.6,0,1,0,75.5,9.25,9.51
AL-00305,261.3,14.04,53.5,5.7,4.24,777.4,81.7,11.0,94.2,0,0,0,89.0,9.49,13.15
AL-00306,196.4,7.22,89.5,5.7,7.69,386.0,75.3,6.5,82.3,0,3,0,83.2,5.54,6.35
AL-00307,243.2,16.59,62.5,8.8,2.36,542.6,77.8,13.5,92.9,0,0,0,83.3,8.71,11.83
AL-00308,163.2,1.34,10.9,5.7,4.72,871.1,31.6,14.6,74.1,0,2,0,73.3,7.21,7.34
AL-00309,145.5,7.35,38.5,9.2,6.32,347.2,62.5,7.8,78.4,0,1,0,76.1,7.19,7.67
AL-00310,278.9,5.46,96.5,9.7,6.98,305.6,99.3,12.3,88.7,0,3,0,83.6,13.18,16.8
AL-00311,253.7,3.8,77.0,4.3,3.36,831.7,57.3,5.2,67.4,0,2,0,70.9,9.09,10.47
AL-00312,109.6,13.2,71.5,4.9,9.38,201.4,59.0,1.7,84.9,0,3,0,81.1,7.98,9.55
AL-00313,298.1,15.17,26.1,9.7,6.82,231.4,82.1,3.0,97.8,0,0,0,97.0,11.09,16.14
AL-00314,247.2,1.02,48.8,8.0,0.47,175.8,10.3,4.7,89.6,0,3,0,95.9,10.28,13.29
AL-00315,148.9,3.94,40.1,7.7,6.41,943.4,9.0,13.4,79.7,0,1,0,80.6,7.97,8.72
AL-00316,171.8,4.81,25.2,9.7,4.26,732.8,13.7,13.0,68.5,0,2,0,73.0,5.09,5.75
AL-00317,278.9,10.9,98.2,8.0,6.3,181.3,60.4,13.2,100.0,0,0,0,98.0,10.74,16.12
AL-00318,172.7,16.82,51.0,7.6,8.24,211.8,32.1,6.0,79.0,0,3,0,82.6,5.64,6.1
AL-00319,251.6,8.65,29.7,7.1,7.22,441.4,54.1,0.8,83.0,0,3,0,88.4,8.77,10.18
AL-00320,107.3,5.1,62.8,9.5,1.1,108.1,82.0,6.4,82.3,0,1,0,90.5,8.24,9.44
AL-00321,207.1,11.32,36.2,8.3,6.29,472.2,39.7,9.8,92.0,0,0,0,96.9,5.99,8.03
AL-00322,110.1,1.56,82.3,6.9,4.83,608.4,28.4,1.1,59.9,0,2,0,63.8,8.97,11.68
AL-00323,120.3,10.01,86.1,7.0,3.64,394.0,85.8,5.4,77.8,0,1,0,81.9,5.88,6.21
AL-00324,277.3,4.48,39.7,5.7,8.61,892.2,24.6,0.7,71.3,0,2,0,63.6,10.53,11.31
AL-00325,160.8,6.04,14.3,9.6,3.49,413.7,39.1,3.2,81.5,0,3,0,84.2,5.94,6.72
AL-00326,129.1,16.05,45.4,7.5,3.49,988.9,29.9,4.6,78.7,0,1,0,82.2,9.45,10.15
AL-00327,225.6,15.64,12.3,5.7,8.33,70.9,99.8,2.6,88.9,0,0,0,89.8,7.37,9.41
AL-00328,259.8,14.1,88.2,8.4,8.79,174.1,71.7,1.2,93.4,0,0,0,99.8,10.22,14.0
AL-00329,111.2,13.94,94.0,7.8,4.48,706.2,61.2,4.3,85.7,0,1,0,85.4,7.88,9.57
AL-00330,125.2,17.39,79.9,5.5,2.32,171.2,19.7,12.2,85.6,0,3,0,80.7,7.81,9.46
AL-00331,244.6,12.9,68.8,9.6,8.43,8.2,29.4,5.6,92.7,0,0,0,90.2,7.4,10.02
AL-00332,158.0,5.4,44.3,9.8,8.07,594.0,71.0,13.1,68.5,0,2,0,58.0,5.33,6.02
AL-00333,108.6,8.23,51.3,9.4,4.47,423.8,31.9,5.3,77.4,0,1,0,75.0,7.22,7.57
AL-00334,268.3,17.98,34.9,6.6,3.11,652.5,26.8,5.1,97.5,0,0,0,96.3,11.35,16.47
AL-00335,166.1,12.07,57.1,6.9,8.05,934.8,2.2,2.8,66.9,0,2,0,64.2,5.25,6.09
AL-00336,182.9,10.7,34.3,4.6,2.22,340.1,40.7,12.2,87.6,0,3,0,80.1,3.84,4.81
AL-00337,232.1,17.96,77.4,5.0,5.91,266.5,68.8,2.0,87.7,0,0,0,93.8,8.82,11.06
AL-00338,145.0,9.76,49.7,4.2,2.14,875.3,60.5,0.9,59.5,0,2,0,52.0,5.43,7.12
AL-00339,115.0,5.78,66.7,8.9,0.68,105.9,59.4,12.3,81.1,0,1,0,72.8,8.18,9.18
AL-00340,116.1,11.58,67.0,5.2,1.69,46.0,84.0,10.2,79.4,0,3,0,87.0,6.99,7.61
AL-00341,238.6,13.41,30.2,9.0,9.54,967.2,74.1,12.8,96.4,0,0,0,97.8,7.3,10.43
AL-00342,189.3,5.03,43.5,6.3,5.04,410.2,71.2,10.9,92.7,0,3,0,91.0,7.29,9.87
AL-00343,170.5,7.47,69.5,4.2,4.7,254.6,16.4,10.4,80.1,0,3,0,74.3,4.1,4.52
AL-00344,115.9,18.42,84.3,8.1,3.41,954.6,51.3,13.5,83.4,0,1,0,89.3,10.84,12.66
AL-00345,215.3,11.5,28.5,10.0,1.86,581.6,40.7,10.5,94.7,0,0,0,96.9,6.46,9.01
AL-00346,135.7,19.4,16.2,8.3,7.54,914.2,25.5,3.5,76.8,0,1,0,72.0,8.56,8.87
AL-00347,239.7,19.53,63.4,6.4,7.3,218.0,13.1,1.5,92.9,0,0,0,95.8,12.0,16.29
AL-00348,184.7,4.71,98.9,9.9,5.33,286.4,14.1,14.1,82.1,0,3,0,83.0,6.11,6.98
AL-00349,297.6,13.5,25.8,9.8,1.53,853.9,60.8,11.8,98.9,0,0,0,94.3,10.34,15.28
AL-00350,230.5,17.9,44.5,4.7,1.27,922.2,16.8,9.2,90.2,0,0,0,101.2,9.58,12.49
AL-00351,281.3,19.48,82.9,6.9,3.0,868.3,76.7,3.5,91.7,0,0,0,91.0,11.54,15.39
AL-00352,145.3,1.27,89.0,5.5,5.42,80.0,53.7,0.9,60.8,1,3,0,60.1,14.0,17.99
AL-00353,196.3,3.53,25.6,5.9,2.2,50.6,96.3,8.2,80.7,0,3,0,80.5,6.01,6.69
AL-00354,174.5,18.4,33.5,5.6,4.38,221.5,80.3,3.1,76.0,0,3,0,79.6,7.44,7.6
AL-00355,171.8,10.9,74.2,4.8,1.65,565.7,49.9,8.4,59.1,0,2,0,59.9,4.77,6.29
AL-00356,264.7,13.43,64.9,10.0,1.31,986.5,60.0,13.1,91.4,0,0,0,97.1,8.73,11.59
AL-00357,180.1,18.63,84.2,7.6,8.21,540.8,12.8,1.2,74.1,0,2,0,90.2,6.59,6.71
AL-00358,101.9,18.04,37.9,5.6,5.17,862.1,42.4,4.4,62.8,0,2,0,62.0,9.24,11.49
AL-00359,117.5,9.19,28.0,9.7,0.67,615.0,26.9,2.3,78.2,0,1,0,83.2,6.51,6.93
AL-00360,153.9,5.2,92.0,6.4,1.95,678.7,3.8,9.7,67.3,0,2,0,66.0,5.5,6.34
AL-00361,114.7,8.53,87.9,7.1,5.3,714.0,71.9,9.1,76.1,0,1,0,75.0,7.17,7.33
AL-00362,272.6,5.59,66.7,9.6,9.01,940.7,24.8,2.2,63.0,0,2,0,71.0,9.54,11.84
AL-00363,251.6,2.72,16.8,4.3,8.85,690.1,61.1,13.0,59.2,0,2,0,54.7,10.31,13.56
AL-00364,134.8,13.99,93.4,4.2,0.81,614.8,92.0,1.7,58.5,0,2,0,60.3,7.0,9.31
AL-00365,279.1,1.58,10.4,9.2,3.94,78.3,19.5,3.9,85.5,0,3,0,79.4,14.36,17.38
AL-00366,124.1,5.15,88.2,4.7,5.2,499.0,43.1,13.0,86.6,0,3,0,83.8,7.7,9.48
AL-00367,140.6,4.31,21.1,6.9,1.53,697.2,27.7,10.8,71.7,0,2,0,69.7,7.92,8.45
AL-00368,159.2,16.27,34.0,9.8,9.25,577.3,1.9,6.6,66.4,0,2,0,63.3,6.96,8.16
AL-00369,226.6,3.51,26.9,7.2,1.11,974.1,43.6,2.4,77.6,0,2,0,78.2,8.88,9.34
AL-00370,119.0,9.31,75.4,4.7,0.38,850.8,90.9,0.6,31.3,1,2,0,42.1,11.94,22.36
AL-00371,191.1,14.36,79.9,5.8,8.79,812.5,45.9,10.8,49.2,1,2,0,50.3,10.57,16.02
AL-00372,192.5,15.16,82.7,5.6,5.07,930.0,86.7,6.0,56.6,0,2,0,55.6,5.87,8.03
AL-00373,273.5,1.64,25.4,4.7,9.37,740.4,53.4,1.1,56.9,0,2,0,49.1,11.39,15.52
AL-00374,229.6,6.91,22.7,5.7,8.03,319.7,16.8,10.0,85.1,0,3,0,89.7,7.62,9.16
AL-00375,288.1,2.32,74.8,7.7,8.18,714.5,69.7,14.7,63.6,0,2,0,52.2,13.95,17.12
AL-00376,235.1,2.02,97.5,6.8,1.37,48.5,59.1,13.1,87.9,0,3,0,86.3,9.11,11.45
AL-00377,285.3,4.96,38.9,6.5,2.59,986.2,31.6,12.5,68.1,0,2,0,76.0,10.05,11.45
AL-00378,233.6,18.26,69.0,5.5,4.04,956.3,1.1,1.2,90.9,0,0,0,77.7,9.23,12.17
AL-00379,291.6,5.08,37.7,4.7,8.78,970.5,20.3,0.3,73.8,0,2,0,69.1,10.86,11.13
AL-00380,197.2,15.7,10.6,6.0,3.03,864.6,34.2,0.7,70.5,0,2,0,58.5,6.56,7.15
AL-00381,240.7,15.19,72.1,6.7,1.7,581.0,8.1,0.2,97.6,0,0,0,95.6,8.83,12.83
AL-00382,178.3,19.79,87.9,5.4,7.95,830.3,91.1,13.5,59.7,0,2,0,54.1,6.85,8.94
AL-00383,264.6,16.68,75.3,6.3,4.98,333.1,45.7,6.3,91.2,0,0,0,87.2,9.97,13.21
AL-00384,206.5,7.61,28.7,9.0,9.51,695.2,35.0,0.3,59.9,0,2,0,59.9,7.57,9.85
AL-00385,198.2,3.3,22.3,5.8,2.89,378.1,67.6,11.7,87.7,0,3,0,84.3,6.43,8.07
AL-00386,238.1,3.47,21.5,9.3,0.93,813.7,10.4,9.1,59.3,0,2,0,57.5,8.26,10.86
AL-00387,247.0,11.93,22.3,7.5,9.77,249.5,49.9,8.9,95.5,0,0,0,100.3,11.38,16.04
AL-00388,265.1,5.48,83.0,5.1,8.56,801.4,42.7,14.5,67.7,0,2,0,71.2,10.25,11.75
AL-00389,156.4,14.8,80.9,8.7,9.66,913.4,76.8,5.6,67.5,0,2,0,58.4,8.36,9.61
AL-00390,264.4,12.41,25.5,6.7,0.55,157.7,71.4,10.4,92.9,0,0,0,87.2,9.15,12.42
AL-00391,212.0,6.55,52.4,5.2,9.92,16.0,63.8,14.6,88.3,0,3,0,90.1,7.76,9.82
AL-00392,277.4,9.15,69.2,4.1,9.98,245.8,28.0,0.7,78.7,0,3,0,77.6,8.38,9.0
AL-00393,125.1,18.22,94.4,7.8,5.96,572.7,39.5,7.8,86.1,0,1,0,86.2,8.21,10.03
AL-00394,154.6,4.55,87.1,5.6,6.8,964.8,71.1,9.6,68.2,0,2,0,68.1,5.68,6.45
AL-00395,239.7,16.09,91.9,4.8,9.71,990.1,8.7,11.5,89.4,0,0,0,89.1,8.81,11.36
AL-00396,144.0,9.33,78.5,8.2,2.53,637.0,50.4,14.9,75.3,0,1,0,81.9,5.89,5.92
AL-00397,195.6,4.0,67.1,9.0,6.96,160.6,49.6,14.6,89.7,0,3,0,93.1,5.84,7.55
AL-00398,236.6,19.26,37.2,4.7,4.98,571.8,22.8,9.6,92.6,0,0,0,94.0,10.74,14.53
AL-00399,268.7,14.31,80.5,5.1,1.05,540.2,31.0,12.2,97.3,0,0,0,90.4,9.26,13.38
AL-00400,239.1,8.42,95.1,9.5,8.96,444.6,17.6,13.5,84.0,0,3,0,77.5,7.33,8.64
AL-00401,184.8,8.71,100.0,6.7,7.15,538.6,73.4,8.7,62.7,0,2,0,63.7,3.9,4.86
AL-00402,176.9,5.15,96.6,6.0,6.45,361.1,58.6,7.8,82.8,0,3,0,83.2,5.55,6.42
AL-00403,266.6,8.47,61.8,5.6,1.83,454.0,72.7,13.1,87.3,0,3,0,87.7,10.55,13.14
AL-00404,151.3,15.85,33.4,6.1,2.07,448.0,48.9,8.4,82.0,0,3,0,84.2,6.58,7.49
AL-00405,238.0,8.83,60.3,7.6,9.62,331.8,30.3,9.8,84.9,0,3,0,89.5,6.8,8.15
AL-00406,196.2,4.07,78.5,6.0,4.29,262.7,68.8,4.4,81.8,0,3,0,82.5,6.91,7.86
AL-00407,212.0,1.58,56.8,7.0,3.22,627.7,23.7,12.2,69.9,0,2,0,74.0,7.69,8.47
AL-00408,202.5,14.92,75.3,5.5,2.96,622.7,43.4,1.4,93.8,0,0,0,87.7,6.01,8.27
AL-00409,282.8,2.73,15.0,4.9,8.02,596.6,17.9,0.5,60.9,0,2,0,58.1,11.21,14.37
AL-00410,180.9,6.74,76.2,9.2,7.04,637.3,40.0,0.5,61.7,0,2,0,64.7,4.51,5.71
AL-00411,158.6,8.0,56.5,7.9,6.52,574.1,90.7,6.0,63.6,0,2,0,63.6,4.62,5.67
AL-00412,110.0,6.24,94.2,4.5,9.53,939.5,98.9,7.3,61.5,0,2,0,61.0,8.73,11.08
AL-00413,160.2,15.82,63.6,8.7,4.97,771.1,37.9,0.6,63.1,0,2,0,53.1,5.58,6.91
AL-00414,125.8,5.25,81.3,6.2,2.76,103.3,20.3,14.5,83.4,0,3,1,85.3,7.62,8.9
AL-00415,172.1,6.2,98.7,4.1,8.53,467.7,83.9,3.0,80.1,0,3,0,81.6,5.59,6.16
AL-00416,206.6,8.47,80.7,4.3,1.29,34.7,77.2,13.1,83.8,0,3,0,86.8,6.69,7.87
AL-00417,137.2,18.36,55.8,9.5,4.64,885.2,15.7,14.4,76.3,0,1,0,75.6,7.82,8.03
AL-00418,281.6,11.61,71.4,5.6,3.59,566.1,37.8,0.6,93.9,0,0,0,81.2,10.01,13.8
AL-00419,214.0,15.21,74.3,8.8,6.82,683.5,74.0,5.1,85.9,0,0,0,79.9,7.69,9.35
AL-00420,234.8,4.02,68.4,7.9,4.49,209.9,94.4,13.3,88.0,0,3,0,84.1,9.1,11.46
AL-00421,187.3,16.3,72.7,4.9,8.96,590.4,46.4,1.0,65.6,0,2,0,71.7,5.67,6.74
AL-00422,142.2,16.5,26.3,7.2,8.09,245.1,30.7,5.3,73.2,0,1,0,82.0,8.5,8.8
AL-00423,255.2,6.98,86.8,4.9,9.7,299.6,82.9,6.5,85.4,0,3,0,91.3,8.28,10.0
AL-00424,275.1,15.79,79.1,9.7,0.43,221.0,81.1,0.0,95.4,0,0,0,101.1,10.64,14.98
AL-00425,111.1,18.12,12.9,8.5,6.07,846.9,69.3,14.4,78.4,0,1,0,81.7,9.96,10.63
AL-00426,173.1,14.49,35.6,9.6,5.48,160.2,8.8,3.2,82.2,0,3,0,83.1,4.92,5.63
AL-00427,281.9,13.02,22.0,4.6,2.48,170.9,5.4,2.6,92.2,0,0,0,84.9,10.69,14.37
AL-00428,140.4,16.3,38.2,4.3,6.09,851.4,70.0,1.6,63.3,0,2,0,68.2,6.64,8.19
AL-00429,222.0,6.65,41.0,6.7,7.97,671.9,15.3,5.5,62.1,0,2,0,61.5,7.11,8.94
AL-00430,187.7,6.14,75.3,5.5,6.11,878.4,38.7,0.2,45.4,1,2,0,50.1,10.62,16.9
AL-00431,116.9,16.4,67.4,9.6,6.35,897.1,8.5,2.0,82.6,0,1,0,83.2,9.29,10.7
AL-00432,120.3,12.03,27.6,5.5,8.54,981.0,89.1,7.0,69.9,0,2,0,71.8,7.23,7.97
AL-00433,103.1,15.95,95.4,4.8,1.81,573.5,99.5,1.0,63.3,0,2,0,57.8,9.94,12.26
AL-00434,144.9,14.09,89.9,7.6,1.95,329.4,42.4,8.8,77.1,0,1,0,82.1,6.02,6.28
AL-00435,294.5,12.48,63.8,5.1,2.69,227.6,2.2,11.9,87.8,0,0,0,84.5,9.78,12.29
AL-00436,116.3,18.31,31.7,6.9,7.86,615.8,84.1,14.9,66.7,0,2,0,63.1,8.81,10.27
AL-00437,185.3,17.95,75.3,8.4,9.48,102.2,40.9,5.2,81.7,0,3,0,79.7,6.49,7.36
AL-00438,116.8,15.81,48.6,7.9,8.6,134.7,70.3,2.2,83.3,0,1,0,78.6,10.63,12.4
AL-00439,202.7,5.41,92.5,6.5,9.45,858.5,71.9,6.3,69.7,0,2,0,66.0,6.32,6.99
AL-00440,237.5,9.41,68.5,4.5,2.11,998.0,61.4,10.9,68.8,0,2,0,67.7,6.35,7.14
AL-00441,146.1,13.08,29.0,5.7,3.81,26.3,0.5,11.2,84.6,0,3,0,81.6,5.86,6.99
AL-00442,126.0,10.88,60.9,7.6,6.07,613.1,50.9,9.8,80.9,0,1,0,74.1,5.85,6.54
AL-00443,239.7,5.75,58.6,5.9,3.62,529.6,85.3,1.8,60.0,0,2,0,56.2,7.69,10.0
AL-00444,234.3,8.53,89.5,7.3,8.92,41.0,40.4,3.7,84.8,0,3,0,86.0,11.3,13.53
AL-00445,189.4,13.45,41.1,7.9,0.14,654.9,84.3,1.6,55.7,0,2,0,58.6,6.05,8.38
AL-00446,206.9,13.37,61.7,5.1,6.96,12.2,52.5,11.8,96.1,0,0,0,104.0,5.91,8.4
AL-00447,199.7,1.21,24.9,9.8,4.56,701.1,88.0,3.0,59.1,0,2,0,60.5,7.53,9.93
AL-00448,167.0,2.73,75.7,9.3,1.7,471.0,86.3,11.9,86.6,0,3,0,85.1,7.06,8.7
AL-00449,144.8,18.66,19.0,5.2,3.04,992.4,2.6,12.8,74.5,0,2,0,66.4,7.41,7.48
AL-00450,155.0,14.34,19.4,4.3,3.48,427.8,23.8,13.9,85.1,0,3,0,88.3,5.49,6.61
AL-00451,112.9,17.53,85.4,7.9,4.7,559.3,20.2,4.4,85.2,0,1,0,86.5,9.92,11.95
AL-00452,222.1,17.27,16.2,6.6,8.98,16.5,25.1,9.3,90.3,0,0,0,100.5,7.59,9.91
AL-00453,261.0,4.93,34.1,7.4,9.89,787.1,38.7,14.3,61.5,0,2,0,51.2,9.96,12.65
AL-00454,117.1,13.11,98.8,4.2,5.48,365.5,58.5,2.0,78.7,0,3,0,80.1,8.2,8.8
AL-00455,235.3,8.15,20.9,7.6,3.31,297.9,78.6,10.2,83.6,0,3,0,84.5,6.9,8.08
AL-00456,266.6,10.46,22.3,9.7,5.93,632.4,9.4,0.9,97.2,0,0,0,96.9,9.6,13.86
AL-00457,206.6,6.57,40.0,4.1,7.31,847.8,21.2,7.5,67.0,0,2,0,66.1,5.96,6.91
AL-00458,254.1,17.53,27.0,8.4,6.63,497.9,10.0,13.8,90.4,0,0,0,90.8,9.44,12.35
AL-00459,113.1,11.84,71.6,4.2,5.78,793.1,25.7,13.0,67.0,0,2,0,62.0,7.32,8.5
